Utbildning,Nivå,Grundläggande behörighet,Särskild behörighet,Andra villkor,Organisatör/Länk
Hantverkslärling,YH,Okänd,"Hantverksteknik 1, 200p; Hantverksteknik 2, 200p; Hantverksteknik 3, 200p; Hantverksteknik 4, 200p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9064
Servicetekniker i fält – mobila arbetsmaskiner,YH,Okänd,"Elektromekanik, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9067
Avancerad GIS-användare,YH,Okänd,"Engelska 6, 100p; Svenska 2 eller Svenska som andraspråk 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9070
Systemutvecklare C/C++,YH,Okänd,"Engelska 6, 100p; Matematik 2, 100p; Programmering 1, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9071
"Specialistundersköterska inom neurologi, neurokirurgi och neurointensivvård",YH,Okänd,"Anatomi och fysiologi 1, 50p; Anatomi och fysiologi 2, 50p; Funktionsförmåga och funktionsnedsättning 1, 100p; Hälso- och sjukvård 1, 100p; Hälso- och sjukvård 2, 100p; Omvårdnad 1, 100p; Omvårdnad 2, 100p; Social omsorg 1, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9072
Järnvägsingenjör,YH,Okänd,"Matematik 2, 100p; Svenska 2 eller Svenska som andraspråk 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9073
VA-ingenjör,YH,Okänd,"Matematik 2, 100p; Svenska 2 eller Svenska som andraspråk 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9074
Stödpedagog inom funktionshinderområdet,YH,Okänd,"Hälsopedagogik, 100p; Specialpedagogik 1, 100p; Specialpedagogik 2, 100p; Svenska 2 eller Svenska som andra språk 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9075
Projektledare El,YH,Okänd,"Elinstallationer, 200p; Elkraftteknik, 100p; Praktisk ellära, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9078
Rekryterings- och bemanningsspecialist,YH,Okänd,"Svenska 2 eller Svenska som andraspråk 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9079
Vindkrafttekniker On- & Offshore,YH,Okänd,"Matematik 2, 100p; Svenska 2 eller Svenska som andraspråk 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9080
Stödpedagog,YH,Okänd,"Hälsopedagogik, 100p; Specialpedagogik 1, 100p; Specialpedagogik 2, 100p; Svenska 2 eller Svenska som andra språk 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9081
IOT - projektör trådlösa nät,YH,Okänd,"
; 
; 
; 
; Dela på Facebook; 
; 
; 
; 
; 
; 
; Dela på Twitter; 
; 
; 
; 
; 
; 
; Dela på Linkedin; 
; 
; 
; 
; 
; 
; Dela via Email; 
; 
; 
",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9082
Rörtekniker med svetscertifikat,YH,Okänd,"Kälsvets 1, 100p; Kälsvets 2, 100p; Stumsvets 1, 100p; Svets grund, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9083
Energispecialist,YH,Okänd,"Matematik 2a, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9084
Instrument- och steriltekniker,YH,Okänd,"Engelska 6, 100p; Svenska 2 eller Svenska som andraspråk 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9085
Skogsplanerare,YH,Okänd,"Skogsskötsel 1, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9086
Processtekniker smart industri,YH,Okänd,"Matematik 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9087
Projektledare inriktning vindkraft,YH,Okänd,"Engelska 6, 100p; Matematik 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9089
Affärsutvecklare besöksnäring,YH,Okänd,"Engelska 6, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9091
"Elingenjör - Fastighet, industri och järnväg",YH,Okänd,"Matematik 2a, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9093
Arbetsledare – Hållbar grönyteförvaltning,YH,Okänd,"
; 
; 
; 
; Dela på Facebook; 
; 
; 
; 
; 
; 
; Dela på Twitter; 
; 
; 
; 
; 
; 
; Dela på Linkedin; 
; 
; 
; 
; 
; 
; Dela via Email; 
; 
; 
",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9096
Operativ Produktionstekniker,YH,Okänd,"Produktionskunskap 1, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9097
Trafiklärare,YH,Okänd,"Svenska 2 eller Svenska som andraspråk 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9098
Byggnadsingenjör - klimat och konstruktion,YH,Okänd,"Bygg och anläggning 2, 200p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9099
Projektingenjör Järnväg,YH,Okänd,"Bygg och anläggning 1, 200p; Bygg och anläggning 2, 200p; Matematik 2a, 100p; Svenska 2 alt Svenska som andraspråk 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9102
Webbutvecklare inom .NET,YH,Okänd,"Matematik 2, 100p; Programmering 1, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9103
Mjukvarutestare,YH,Okänd,"Matematik 2, 100p; Programmering 1, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9104
Technical Operations Specialist,YH,Okänd,"Datorteknik 1a, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9105
Hiss- och rulltrappstekniker,YH,Okänd,"
; 
; 
; 
; Dela på Facebook; 
; 
; 
; 
; 
; 
; Dela på Twitter; 
; 
; 
; 
; 
; 
; Dela på Linkedin; 
; 
; 
; 
; 
; 
; Dela via Email; 
; 
; 
",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9107
Specialistundersköterska med Neuropsykiatrikompetens,YH,Okänd,"Anatomi och fysiologi 1, 50p; Anatomi och fysiologi 2, 50p; Hälso- och sjukvård 1, 100p; Hälso- och sjukvård 2, 100p; Omvårdnad 1, 100p; Omvårdnad 2, 100p; Psykologi 1, 50p; Social omsorg 1, 100p; Social omsorg 2, 100p; Svenska 1 eller Svenska som andraspråk 1, 100p; Gerontologi och geriatrik, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9108
Bygglovshandläggare / Byggnadsinspektör,YH,Okänd,"Svenska 2 alt Svenska som andraspråk 2, 100p; Bygg och anläggning 1, 200p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9109
Hotel Supervisor,YH,Okänd,"Engelska 6, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9110
TRAC  Turism- och Resekonsult,YH,Okänd,"Engelska 6, 100p; Svenska 2 eller Svenska som andraspråk 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9111
Electric Powertrain Engineering,YH,Okänd,"Engelska 6, 100p; Fysik 1, 150p; Matematik 3, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9112
Elkraftsingenjör,YH,Okänd,"Matematik 2a, 100p; Praktisk ellära, 100p; Svenska 2 eller Svenska som andraspråk 2 , 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9115
Försäkringsrådgivare,YH,Okänd,"Svenska 2 eller Svenska som andraspråk 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9116
Solenergitekniker,YH,Okänd,"
; 
; 
; 
; Dela på Facebook; 
; 
; 
; 
; 
; 
; Dela på Twitter; 
; 
; 
; 
; 
; 
; Dela på Linkedin; 
; 
; 
; 
; 
; 
; Dela via Email; 
; 
; 
",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9117
Psykiatrispecialiserad undersköterska/vårdare med beroendekompetens,YH,Okänd,"Medicin 1, 150p; Vård- och omsorgsarbete 1, 200p; Vård- och omsorgsarbete 2, 150p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9120
Event Marketing & Management,YH,Okänd,"Engelska 6, 100p; Svenska 2 eller Svenska som andraspråk 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9121
Systemutvecklare .NET,YH,Okänd,"Engelska 6, 100p; Matematik 2, 100p; Programmering 1, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9122
CAD-konstruktör,YH,Okänd,"Matematik 2, 100p; Svenska 2 eller Svenska som andraspråk 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9123
Management inom hotell och besöksnäring,YH,Okänd,"Engelska 6, 100p; Svenska 2 eller Svenska som andraspråk 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9124
IT-säkerhetsanalytiker SOC,YH,Okänd,"Engelska 6, 100p; Matematik 2c, 100p; Programmering 1, 100p; Svenska 2 alt Svenska som andraspråk 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9126
"Drifttekniker, Kraft & Värme / Process",YH,Okänd,"Matematik 2, 100p; Svenska 2 eller Svenska som andraspråk 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9128
Medicinsk vårdadministratör,YH,Okänd,"Svenska 2 eller Svenska som andraspråk 2, 100p; Engelska 6, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9129
Systemutvecklare DevSecOps,YH,Okänd,"Engelska 6, 100p; Matematik 2c, 100p; Programmering 1, 100p; Svenska 2 alt Svenska som andraspråk 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9133
Certifierad produktionstekniker,YH,Okänd,"Matematik 2, 100p; Produktionskunskap 1, 100p; Produktionsutrustning 1 + Industritekniska processer 1 ELLER Produktionskunskap 2, 200p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9134
Certifierad produktionstekniker,YH,Okänd,"Matematik 2, 100p; Produktionskunskap 1, 100p; Produktionsutrustning 1 + Industritekniska processer 1 ELLER Produktionskunskap 2, 200p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9135
Rörnätstekniker/Arbetsledare–Rörnätsteknik,YH,Okänd,"Svenska 2 eller Svenska som andraspråk 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9136
Lokförare,YH,Okänd,"
; 
; 
; 
; Dela på Facebook; 
; 
; 
; 
; 
; 
; Dela på Twitter; 
; 
; 
; 
; 
; 
; Dela på Linkedin; 
; 
; 
; 
; 
; 
; Dela via Email; 
; 
; 
",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9139
"Installationsingenjör solel, lagring och laddning",YH,Okänd,"Bygg och anläggning 2, 200p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9140
CAD-konstruktör produktutveckling,YH,Okänd,"Matematik 2, 100p; Svenska 2 eller Svenska som andraspråk 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9141
"Anläggningsingenjör - infrastruktur, miljö och klimat",YH,Okänd,"Matematik 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9143
Stödpedagog,YH,Okänd,"Hälsopedagogik, 100p; Specialpedagogik 1, 100p; Specialpedagogik 2, 100p; Svenska 2 eller Svenska som andra språk 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9144
Trafiklärare,YH,Okänd,"Svenska 2 eller Svenska som andraspråk 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9145
Guldsmed,YH,Okänd,"
; 
; 
; 
; Dela på Facebook; 
; 
; 
; 
; 
; 
; Dela på Twitter; 
; 
; 
; 
; 
; 
; Dela på Linkedin; 
; 
; 
; 
; 
; 
; Dela via Email; 
; 
; 
",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9148
Energiingenjör,YH,Okänd,"Fysik 1, 150p; Matematik 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9149
VVS- och energiingenjör,YH,Okänd,"Matematik 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9150
DevOps Engineer,YH,Okänd,"Engelska 6, 100p; Nätverksteknik, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9151
"Drifttekniker, Kraft & Värme / Process",YH,Okänd,"Matematik 2, 100p; Svenska 2 eller Svenska som andraspråk 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9152
B2B-säljare,YH,Okänd,"Svenska 2 eller Svenska som andraspråk 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9153
Game Creator Programmer,YH,Okänd,"Engelska 6, 100p; Matematik 2, 100p; Programmering 1, 100p; Svenska 2 eller Svenska som andraspråk 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9155
Bygglovshandläggare/Byggnadsinspektör,YH,Okänd,"Bygg och anläggning 1, 200p; Svenska 2 alt Svenska som andraspråk 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9156
Game Creator Artist,YH,Okänd,"Engelska 6, 100p; Svenska 2 eller Svenska som andraspråk 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9157
Podcastproduktion,YH,Okänd,"Engelska 6, 100p; Svenska 2 eller Svenska som andraspråk 2, 100p; Medieproduktion 1, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9158
Stödpedagog inom funktionshinderområdet,YH,Okänd,"Hälsopedagogik, 100p; Specialpedagogik 1, 100p; Specialpedagogik 2, 100p; Svenska 2 eller Svenska som andra språk 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9159
Ortopedtekniker,YH,Okänd,"Matematik 2, 100p; Svenska 2 eller Svenska som andraspråk 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9160
Fibertekniker med inriktning mastteknik/mobilnät,YH,Okänd,"
; 
; 
; 
; Dela på Facebook; 
; 
; 
; 
; 
; 
; Dela på Twitter; 
; 
; 
; 
; 
; 
; Dela på Linkedin; 
; 
; 
; 
; 
; 
; Dela via Email; 
; 
; 
",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9164
Möbeltapetserare - Historiskt hantverk,YH,Okänd,"
; 
; 
; 
; Dela på Facebook; 
; 
; 
; 
; 
; 
; Dela på Twitter; 
; 
; 
; 
; 
; 
; Dela på Linkedin; 
; 
; 
; 
; 
; 
; Dela via Email; 
; 
; 
",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9165
Rekryterare,YH,Okänd,"Svenska 2 eller Svenska som andraspråk 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9166
Fibertekniker,YH,Okänd,"
; 
; 
; 
; Dela på Facebook; 
; 
; 
; 
; 
; 
; Dela på Twitter; 
; 
; 
; 
; 
; 
; Dela på Linkedin; 
; 
; 
; 
; 
; 
; Dela via Email; 
; 
; 
",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9167
Futuregames Game Programmer,YH,Okänd,"Matematik 2, 100p; Programmering 1, 100p; Engelska 6, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9168
Futuregames Game Designer,YH,Okänd,"Engelska 6, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9169
CAD-konstruktör,YH,Okänd,"Matematik 2, 100p; Svenska 2 eller Svenska som andraspråk 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9170
Specialistutbildad undersköterska inom palliativ vård,YH,Okänd,"Psykologi 1, 50p; Svenska 1 eller Svenska som andraspråk 1, 100p; Vård- och omsorgsarbete 1, 200p; Vård- och omsorgsarbete 2, 150p; Yrkeskurser 1300 pfrån vård-och omsorgsprogrammet, komvux eller motsvarande i äldre utbildningar., 1300p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9171
Technical Operations Specialist,YH,Okänd,"Datorteknik 1a, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9172
Frontendutvecklare,YH,Okänd,"Matematik 2, 100p; Programmering 1, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9173
Produktionstekniker inriktning elektronik,YH,Okänd,"Matematik 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9174
Vatten- & Miljötekniker,YH,Okänd,"Matematik 2, 100p; Svenska 2 eller Svenska som andraspråk 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9175
Vatten- & Miljötekniker,YH,Okänd,"Matematik 2, 100p; Svenska 2 eller Svenska som andraspråk 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9176
Automationstekniker - drift och underhåll av digitala produktionssystem,YH,Okänd,"Matematik 2, 100p; och Mekatronik 1 eller Praktisk ellära eller Teknik 1 eller Naturkunskap 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9177
Automationstekniker - drift och underhåll av digitala produktionssystem,YH,Okänd,"Matematik 2, 100p; och Mekatronik 1 eller Praktisk ellära eller Teknik 1 eller Naturkunskap 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9178
"Drifttekniker, Kraft & Värme / Process",YH,Okänd,"Matematik 2, 100p; Svenska 2 eller Svenska som andraspråk 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9179
Logistiker med hållbarhetskompetens,YH,Okänd,"Engelska 6, 100p; Matematik 2, 100p; Svenska 2 eller Svenska som andraspråk 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9180
Logistiker med hållbarhetskompetens,YH,Okänd,"Engelska 6, 100p; Matematik 2, 100p; Svenska 2 eller Svenska som andraspråk 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9181
Experience Designer,YH,Okänd,"Engelska 6, 100p; Svenska 2 eller Svenska som andraspråk 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9183
CNC Tekniker - blått certifikat,YH,Okänd,"Engelska 5, 100p; Matematik 1a, 100p; Svenska 2 eller Svenska som andraspråk 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9186
Driftledare lantbruk,YH,Okänd,"Djuren i naturbruket, 100p; Fordon och redskap, 100p; Marken och växternas biologi, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9187
Produktionslogistiker,YH,Okänd,"Engelska 5, 100p; Matematik 1a, 100p; Svenska 2 eller Svenska som andraspråk 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9190
Trafiklärare,YH,Okänd,"Svenska 2 eller Svenska som andraspråk 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9191
"Fartygs- och Maskinbefäl 8, Skärgårdsentreprenör",YH,Okänd,"
; 
; 
; 
; Dela på Facebook; 
; 
; 
; 
; 
; 
; Dela på Twitter; 
; 
; 
; 
; 
; 
; Dela på Linkedin; 
; 
; 
; 
; 
; 
; Dela via Email; 
; 
; 
",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9193
Platschef  Samhällsbyggnad,YH,Okänd,"
; 
; 
; 
; Dela på Facebook; 
; 
; 
; 
; 
; 
; Dela på Twitter; 
; 
; 
; 
; 
; 
; Dela på Linkedin; 
; 
; 
; 
; 
; 
; Dela via Email; 
; 
; 
",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9194
Fönsterhantverkare- traditionella hantverkstekniker,YH,Okänd,"Finsnickeri 1, 200p; Finsnickeri 2, 200p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9195
Anläggningsingenjör - infrastruktur,YH,Okänd,"Bygg och anläggning 1, 200p; Bygg och anläggning 2, 200p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9196
Redovisningskonsult,YH,Okänd,"Matematik 2, 100p; Svenska 2 eller Svenska som andraspråk 2, 100p; Svenska 3 eller Svenska som andraspråk 3, 100p; Företagsekonomi 1, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9198
"Teater-, Event- & Scentekniker",YH,Okänd,"Svenska 2 eller Svenska som andraspråk 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9199
Bryggeriteknik,YH,Okänd,"
; 
; 
; 
; Dela på Facebook; 
; 
; 
; 
; 
; 
; Dela på Twitter; 
; 
; 
; 
; 
; 
; Dela på Linkedin; 
; 
; 
; 
; 
; 
; Dela via Email; 
; 
; 
",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9200
Automationsingenjör-Mjukvara,YH,Okänd,"Elektromekanik, 100p; Mekatronik 1, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9203
Elkraftingenjör,YH,Okänd,"Ellära 1, 100p; Praktisk ellära, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9204
VA-projektör,YH,Okänd,"Matematik 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9205
Platschef - Bygg och anläggning,YH,Okänd,"Bygg och anläggning 1, 200p; Bygg och anläggning 2, 200p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9207
Medicinsk vårdadministratör,YH,Okänd,"Svenska 2 eller Svenska som andraspråk 2, 100p; Engelska 6, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9215
Automationsingenjör inom drift och service,YH,Okänd,"Ellära 1, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9216
Mätningstekniker,YH,Okänd,"
; 
; 
; 
; Dela på Facebook; 
; 
; 
; 
; 
; 
; Dela på Twitter; 
; 
; 
; 
; 
; 
; Dela på Linkedin; 
; 
; 
; 
; 
; 
; Dela via Email; 
; 
; 
",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9217
Entreprenadingenjör,YH,Okänd,"Matematik 2, 100p; Svenska 2 eller Svenska som andraspråk 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9218
Vildmark & Äventyrsguide,YH,Okänd,"
; 
; 
; 
; Dela på Facebook; 
; 
; 
; 
; 
; 
; Dela på Twitter; 
; 
; 
; 
; 
; 
; Dela på Linkedin; 
; 
; 
; 
; 
; 
; Dela via Email; 
; 
; 
",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9220
"Trädgårdsmästare, ekologi och entreprenörskap",YH,Okänd,"Marken och växternas biologi, 100p; Växtkunskap 1, 100p; Trädgårdsmaskiner , 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9221
Drifttekniker kemisk industri,YH,Okänd,"
; 
; 
; 
; Dela på Facebook; 
; 
; 
; 
; 
; 
; Dela på Twitter; 
; 
; 
; 
; 
; 
; Dela på Linkedin; 
; 
; 
; 
; 
; 
; Dela via Email; 
; 
; 
",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9222
Specialistutbildad undersköterska inom psykisk ohälsa,YH,Okänd,"Psykiatri 1, 100p; Psykologi 1, 50p; Svenska 1 eller Svenska som andraspråk 1, 100p; 1300 p i yrkesämnen från Vård och omsorgsprogrammet, vux eller motsvarande i äldre utbildningar., 1300p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9224
Music Business Developer,YH,Okänd,"Engelska 6, 100p; Svenska 2 eller Svenska som andraspråk 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9225
Integrerad trafikflygarutbildning,YH,Okänd,"Engelska 6, 100p; Fysik 1a, 150p; Matematik 3c, 100p; Svenska 3 alt Svenska som andraspråk 3, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9226
TV-produktionsspecialist,YH,Okänd,"
; 
; 
; 
; Dela på Facebook; 
; 
; 
; 
; 
; 
; Dela på Twitter; 
; 
; 
; 
; 
; 
; Dela på Linkedin; 
; 
; 
; 
; 
; 
; Dela via Email; 
; 
; 
",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9227
Game & UX Designer,YH,Okänd,"Engelska 6, 100p; Svenska 2 eller Svenska som andraspråk 2, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9228
Produktionstekniker för framtidens automatiserade industri,YH,Okänd,"
; 
; 
; 
; Dela på Facebook; 
; 
; 
; 
; 
; 
; Dela på Twitter; 
; 
; 
; 
; 
; 
; Dela på Linkedin; 
; 
; 
; 
; 
; 
; Dela via Email; 
; 
; 
",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9229
Futuregames Game Programmer,YH,Okänd,"Engelska 6, 100p; Matematik 2, 100p; Programmering 1, 100p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9231
Specialistundersköterska - demens,YH,Okänd,"Medicin 1, 150p; Psykologi 1, 50p; Vård- och omsorgsarbete 1, 200p; Vård- och omsorgsarbete 2, 150p",,Okänd – https://www.yrkeshogskolan.se/hitta-utbildning/sok/utbildning/?id=9232
